	AgI	Transcript.Cluster.ID
13379952	At1g55675	13379952
13379956	At1g55680	13379956
13379968	At1g55690	13379968
13379987	At1g55710	13379987
13379989	At1g55720	13379989
13379999	At1g55730	13379999
13380010	At1g55740	13380010
13380024	At1g55750	13380024
13380044	At1g55760	13380044
13380051	At1g55770	13380051
13380053	At1g55790	13380053
13380067	At1g55800	13380067
13380073	At1g55805	13380073
13380076	At1g55830	13380076
13380085	At1g55860	13380085
13380099	At1g55880	13380099
13380109	At1g55940	13380109
13380119	At1g55950	13380119
13380121	At1g55960	13380121
13380129	At1g55970	13380129
13380146	At1g55980	13380146
13380161	At1g55990	13380161
13380164	At1g56010	13380164
13380170	At1g56030	13380170
13380175	At1g56040	13380175
13380182	At1g56060	13380182
13380186	At1g56070	13380186
13380192	At1g56080	13380192
13380204	At1g56090	13380204
13380210	At1g56100	13380210
13380220	At1g56110	13380220
13380231	At1g56120	13380231
13380247	At1g56130	13380247
13380262	At1g56140	13380262
13380286	At1g56145	13380286
13380310	At1g56160	13380310
13380313	At1g56180	13380313
13380322	At1g56230	13380322
13380334	At1g56233	13380334
13380338	At1g56240	13380338
13380344	At1g56250	13380344
13380349	At1g56260	13380349
13380356	At1g56270	13380356
13380359	At1g56280	13380359
13380368	At1g56300	13380368
13380376	AMBIgUOUS	13380376
13380382	At1g56330	13380382
13380388	At1g56340	13380388
13380400	At1g56345	13380400
13380404	At1g56360	13380404
13380412	At1g56385	13380412
13380414	At1g56400	13380414
13380420	At1g56420	13380420
13380425	At1g56440	13380425
13380439	At1g56520	13380439
13380448	At1g56550	13380448
13380456	At1g56555	13380456
13380460	At1g56580	13380460
13380464	At1g56590	13380464
13380475	At1g56610	13380475
13380483	At1g56630	13380483
13380490	At1g56650	13380490
13380496	At1g56680	13380496
13380500	At1g56710	13380500
13380507	At1g56720	13380507
13380518	At1g57540	13380518
13380525	At1g57550	13380525
13380528	At1g57590	13380528
13380541	At1g57600	13380541
13380563	At1g57610	13380563
13380575	At1g57670	13380575
13380579	At1g57680	13380579
13380586	At1g57690	13380586
13380592	At1g57710	13380592
13380594	At1g57730	13380594
13380596	At1g57750	13380596
13380603	At1g57775	13380603
13380605	At1g57777	13380605
13380609	At1g57790	13380609
13380613	At1g57800	13380613
13380623	At1g57820	13380623
13380633	AMBIgUOUS	13380633
13380638	At1g57870	13380638
13380652	At1g57943	13380652
13380655	At1g57980	13380655
13380660	At1g57990	13380660
13380664	At1g58007	13380664
13380669	At1g58025	13380669
13380684	At1g58030	13380684
13380699	At1g58037	13380699
13380706	At1g58050	13380706
13380738	At1g58060	13380738
13380766	At1g58080	13380766
13380780	At1g58100	13380780
13380787	At1g58110	13380787
13380795	At1g58180	13380795
13380810	At1g58200	13380810
13380828	At1g58220	13380828
13380837	At1g58235	13380837
13380841	At1g58242	13380841
13380844	At1g58245	13380844
13380846	At1g58248	13380846
13380848	At1g58250	13380848
13380874	At1g58270	13380874
13380881	At1g58280	13380881
13380899	At1g58290	13380899
13380905	At1g58300	13380905
13380910	At1g58320	13380910
13380915	At1g58350	13380915
13380931	At1g58390	13380931
13380936	At1g58400	13380936
13380940	At1g58410	13380940
13380945	At1g58430	13380945
13380951	At1g58440	13380951
13380962	At1g58590	13380962
13380968	AMBIgUOUS	13380968
13380972	AMBIgUOUS	13380972
13380978	AMBIgUOUS	13380978
13380984	AMBIgUOUS	13380984
13380988	AMBIgUOUS	13380988
13380994	AMBIgUOUS	13380994
13381000	AMBIgUOUS	13381000
13381004	AMBIgUOUS	13381004
13381010	AMBIgUOUS	13381010
13381026	At1g59500	13381026
13381030	At1g59535	13381030
13381033	At1g59550	13381033
13381037	At1g59600	13381037
13381044	At1g59630	13381044
13381047	At1g59640	13381047
13381058	At1g59675	13381058
13381061	At1g59690	13381061
13381064	AMBIgUOUS	13381064
13381067	At1g59722	13381067
13381070	At1g59730	13381070
13381076	At1g59760	13381076
13381093	At1g59780	13381093
13381097	At1g59830	13381097
13381108	At1g59835	13381108
13381110	AMBIgUOUS	13381110
13381114	At1g59865	13381114
13381120	AMBIgUOUS	13381120
13381122	At1g59910	13381122
13381126	At1g59920	13381126
13381128	At1g59930	13381128
13381130	At1g59940	13381130
13381138	At1g59950	13381138
13381143	At1g59960	13381143
13381150	At1g59990	13381150
13381161	At1g60000	13381161
13381168	At1g60010	13381168
13381174	At1g60030	13381174
13381189	At1g60040	13381189
13381191	At1g60050	13381191
13381199	At1g60070	13381199
13381220	At1g60080	13381220
13381231	At1g60140	13381231
13381238	At1g60160	13381238
13381248	At1g60200	13381248
13381258	At1g60230	13381258
13381270	At1g60240	13381270
13381274	At1g60250	13381274
13381276	At1g60260	13381276
13381287	At1g60270	13381287
13381298	At1g60280	13381298
13381300	At1g60300	13381300
13381302	At1g60340	13381302
13381305	At1g60350	13381305
13381307	At1g60360	13381307
13381309	At1g60380	13381309
13381311	At1g60390	13381311
13381316	At1g60430	13381316
13381324	At1g60440	13381324
13381336	At1g60450	13381336
13381341	At1g60470	13381341
13381348	At1g60490	13381348
13381368	AMBIgUOUS	13381368
13381375	At1g60530	13381375
13381380	At1g60550	13381380
13381392	At1g60560	13381392
13381402	AMBIgUOUS	13381402
13381404	At1g60590	13381404
13381414	At1g60600	13381414
13381429	At1g60610	13381429
13381439	At1g60630	13381439
13381444	At1g60640	13381444
13381458	At1g60660	13381458
13381462	At1g60680	13381462
13381470	At1g60690	13381470
13381476	At1g60700	13381476
13381485	At1g60710	13381485
13381493	At1g60730	13381493
13381502	At1g60750	13381502
13381508	At1g60770	13381508
13381513	At1g60780	13381513
13381527	At1g60790	13381527
13381535	At1g60800	13381535
13381549	At1g60810	13381549
13381564	AMBIgUOUS	13381564
13381566	At1g60830	13381566
13381570	At1g60840	13381570
13381572	At1g60850	13381572
13381586	At1g60860	13381586
13381606	At1g60890	13381606
13381620	At1g60913	13381620
13381622	At1g60920	13381622
13381624	At1g60930	13381624
13381649	At1g60940	13381649
13381663	At1g60960	13381663
13381669	At1g60970	13381669
13381677	At1g60990	13381677
13381693	At1g60995	13381693
13381711	At1g61000	13381711
13381724	At1g61010	13381724
13381734	AMBIgUOUS	13381734
13381736	At1g61060	13381736
13381739	At1g61065	13381739
13381745	At1g61070	13381745
13381750	At1g61080	13381750
13381759	At1g61090	13381759
13381763	At1g61093	13381763
13381767	At1g61095	13381767
13381771	At1g61097	13381771
13381775	At1g61100	13381775
13381788	At1g61105	13381788
13381792	At1g61130	13381792
13381803	At1g61140	13381803
13381819	At1g61160	13381819
13381823	At1g61200	13381823
13381825	At1g61255	13381825
13381828	At1g61260	13381828
13381833	At1g61270	13381833
13381841	At1g61300	13381841
13381845	At1g61310	13381845
13381848	At1g61353	13381848
13381850	At1g61360	13381850
13381865	At1g61370	13381865
13381873	At1g61380	13381873
13381883	At1g61390	13381883
13381894	At1g61400	13381894
13381901	At1g61410	13381901
13381905	AMBIgUOUS	13381905
13381916	At1g61430	13381916
13381924	At1g61440	13381924
13381932	At1g61460	13381932
13381942	At1g61475	13381942
13381948	At1g61480	13381948
13381958	At1g61490	13381958
13381964	At1g61500	13381964
13381971	At1g61550	13381971
13381981	At1g61560	13381981
13382000	At1g61563	13382000
13382004	At1g61566	13382004
13382008	At1g61570	13382008
13382013	At1g61580	13382013
13382021	At1g61590	13382021
13382029	At1g61640	13382029
13382037	At1g61660	13382037
13382048	AMBIgUOUS	13382048
13382057	At1g61688	13382057
13382061	At1g61690	13382061
13382067	At1g61710	13382067
13382071	At1g61720	13382071
13382080	At1g61730	13382080
13382084	At1g61740	13382084
13382090	At1g61750	13382090
13382093	At1g61760	13382093
13382095	At1g61780	13382095
13382101	At1g61860	13382101
13382108	At1g61870	13382108
13382112	AMBIgUOUS	13382112
13382114	At1g61890	13382114
13382124	At1g61900	13382124
13382134	At1g61940	13382134
13382140	At1g62030	13382140
13382144	ath-MIR171c	13382144
13382146	At1g62045	13382146
13382150	At1g62050	13382150
13382155	At1g62060	13382155
13382159	At1g62080	13382159
13382163	At1g62085	13382163
13382165	At1g62110	13382165
13382169	At1g62120	13382169
13382173	At1g62130	13382173
13382198	At1g62150	13382198
13382202	AMBIgUOUS	13382202
13382209	At1g62200	13382209
13382217	At1g62225	13382217
13382220	At1g62250	13382220
13382232	At1g62260	13382232
13382234	At1g62262	13382234
13382240	At1g62280	13382240
13382245	At1g62290	13382245
13382260	At1g62300	13382260
13382269	At1g62301	13382269
13382271	At1g62305	13382271
13382284	At1g62310	13382284
13382295	At1g62320	13382295
13382307	At1g62340	13382307
13382319	At1g62360	13382319
13382325	At1g62390	13382325
13382329	At1g62422	13382329
13382333	At1g62420	13382333
13382338	At1g62430	13382338
13382353	At1g62450	13382353
13382359	At1g62490	13382359
13382362	At1g62510	13382362
13382366	At1g62530	13382366
13382373	At1g62590	13382373
13382378	At1g62610	13382378
13382383	At1g62670	13382383
13382385	At1g62680	13382385
13382389	At1g62690	13382389
13382394	At1g62700	13382394
13382398	At1g62710	13382398
13382410	AMBIgUOUS	13382410
13382415	AMBIgUOUS	13382415
13382422	At1g62760	13382422
13382424	At1g62770	13382424
13382429	At1g62780	13382429
13382440	At1g62800	13382440
13382454	At1g62810	13382454
13382464	At1g62820	13382464
13382468	At1g62830	13382468
13382472	AMBIgUOUS	13382472
13382485	At1g62870	13382485
13382489	At1g62935	13382489
13382491	AMBIgUOUS	13382491
13382498	At1g62978	13382498
13382500	ath-MIR399b	13382500
13382502	At1g63010	13382502
13382520	At1g63020	13382520
13382543	At1g63030	13382543
13382550	At1g63050	13382550
13382560	At1g63070	13382560
13382563	At1g63080	13382563
13382567	At1g63090	13382567
13382573	At1g63100	13382573
13382575	At1g63120	13382575
13382582	At1g63160	13382582
13382592	At1g63180	13382592
13382604	At1g63200	13382604
13382609	At1g63205	13382609
13382614	At1g63240	13382614
13382624	At1g63245	13382624
13382626	At1g63250	13382626
13382638	At1g63260	13382638
13382656	At1g63270	13382656
13382660	At1g63290	13382660
13382670	At1g63295	13382670
13382676	At1g63310	13382676
13382680	At1g63320	13382680
13382683	At1g63340	13382683
13382691	At1g63350	13382691
13382693	At1g63360	13382693
13382695	At1g63370	13382695
13382703	At1g63390	13382703
13382705	At1g63410	13382705
13382710	At1g63470	13382710
13382718	At1g63480	13382718
13382726	At1g63490	13382726
13382753	AMBIgUOUS	13382753
13382755	At1g63522	13382755
13382758	At1g63535	13382758
13382760	At1g63610	13382760
13382770	At1g63640	13382770
13382789	At1g63660	13382789
13382799	At1g63670	13382799
13382811	At1g63700	13382811
13382825	At1g63710	13382825
13382828	At1g63720	13382828
13382833	At1g63770	13382833
13382866	At1g63780	13382866
13382878	AMBIgUOUS	13382878
13382880	At1g63800	13382880
13382889	At1g63810	13382889
13382917	At1g63820	13382917
13382924	At1g63840	13382924
13382928	At1g63855	13382928
13382938	At1g63860	13382938
13382949	At1g63870	13382949
13382954	At1g63880	13382954
13382961	At1g63910	13382961
13382967	At1g63970	13382967
13382973	AMBIgUOUS	13382973
13382986	At1g64010	13382986
13382988	At1g64020	13382988
13382990	At1g64030	13382990
13382993	At1g64040	13382993
13382999	At1g64080	13382999
13383004	At1g64107	13383004
13383007	At1g64110	13383007
13383025	AMBIgUOUS	13383025
13383032	At1g64150	13383032
13383047	At1g64170	13383047
13383051	AMBIgUOUS	13383051
13383055	At1g64195	13383055
13383058	At1g64200	13383058
13383065	At1g64220	13383065
13383067	At1g64280	13383067
13383074	At1g64290	13383074
13383077	At1g64295	13383077
13383079	At1g64380	13383079
13383083	At1g64400	13383083
13383099	At1g64450	13383099
13383103	At1g64460	13383103
13383107	At1g64470	13383107
13383111	At1g64480	13383111
13383120	At1g64510	13383120
13383125	At1g64561	13383125
13383130	At1g64563	13383130
13383134	At1g64580	13383134
13383138	At1g64583	13383138
13383141	At1g64585	13383141
13383143	At1g64610	13383143
13383152	At1g64640	13383152
13383157	At1g64650	13383157
13383168	At1g64670	13383168
13383175	At1g64700	13383175
13383179	At1g64720	13383179
13383188	AMBIgUOUS	13383188
13383198	At1g64760	13383198
13383205	At1g64780	13383205
13383209	At1g64790	13383209
13383269	At1g64830	13383269
13383271	At1g64850	13383271
13383277	At1g64910	13383277
13383281	At1g64920	13383281
13383283	At1g64970	13383283
13383290	At1g64980	13383290
13383294	At1g64990	13383294
13383311	At1g65020	13383311
13383320	At1g65032	13383320
13383325	At1g65040	13383325
13383338	At1g65050	13383338
13383344	At1g65060	13383344
13383355	At1g65070	13383355
13383365	At1g65090	13383365
13383375	At1g65110	13383375
13383388	At1g65120	13383388
13383403	At1g65130	13383403
13383415	At1g65150	13383415
13383423	At1g65180	13383423
13383427	At1g65190	13383427
13383431	At1g65200	13383431
13383442	At1g65240	13383442
13383453	At1g65290	13383453
13383458	At1g65320	13383458
13383463	At1g65330	13383463
13383465	At1g65340	13383465
13383467	At1g65350	13383467
13383470	At1g65346	13383470
13383473	At1g65370	13383473
13383481	AMBIgUOUS	13383481
13383486	At1g65430	13383486
13383504	At1g65440	13383504
13383529	At1g65470	13383529
13383544	At1g65481	13383544
13383548	At1g65520	13383548
13383552	At1g65540	13383552
13383566	At1g65550	13383566
13383579	At1g65560	13383579
13383587	At1g65570	13383587
13383591	At1g65580	13383591
13383605	At1g65610	13383605
13383613	At1g65630	13383613
13383621	At1g65640	13383621
13383630	At1g65650	13383630
13383638	At1g65660	13383638
13383648	At1g65670	13383648
13383656	At1g65690	13383656
13383661	At1g65700	13383661
13383672	At1g65710	13383672
13383676	At1g65720	13383676
13383680	At1g65740	13383680
13383682	At1g65770	13383682
13383684	At1g65780	13383684
13383694	At1g65810	13383694
13383705	At1g65845	13383705
13383709	At1g65860	13383709
13383718	At1g65880	13383718
13383722	At1g65890	13383722
13383728	At1g65900	13383728
13383741	At1g65910	13383741
13383750	At1g65920	13383750
13383762	At1g65950	13383762
13383780	At1g65970	13383780
13383786	At1g65980	13383786
13383795	At1g65985	13383795
13383801	At1g65990	13383801
13383805	AMBIgUOUS	13383805
13383815	At1g66060	13383815
13383819	At1g66070	13383819
13383829	At1g66080	13383829
13383834	At1g66100	13383834
13383840	At1g66110	13383840
13383843	At1g66140	13383843
13383848	At1g66145	13383848
13383850	At1g66170	13383850
13383856	At1g66190	13383856
13383860	At1g66200	13383860
13383874	At1g66210	13383874
13383885	At1g66235	13383885
13383888	At1g66240	13383888
13383894	At1g66260	13383894
13383905	At1g66270	13383905
13383915	At1g66280	13383915
13383929	At1g66290	13383929
13383933	At1g66300	13383933
13383937	At1g66310	13383937
13383941	At1g66320	13383941
13383946	At1g66330	13383946
13383962	At1g66400	13383962
13383966	At1g66410	13383966
13383974	At1g66460	13383974
13383981	At1g66475	13383981
13383983	At1g66480	13383983
13383988	At1g66490	13383988
13383991	At1g66500	13383991
13383995	At1g66520	13383995
13384009	At1g66530	13384009
13384025	At1g66570	13384025
13384031	At1g66610	13384031
13384037	At1g66620	13384037
13384041	At1g66630	13384041
13384045	At1g66650	13384045
13384048	At1g66660	13384048
13384054	At1g66670	13384054
13384062	At1g66680	13384062
13384072	At1g66690	13384072
13384077	At1g66700	13384077
13384083	At1g66770	13384083
13384085	ath-MIR157a	13384085
13384087	AMBIgUOUS	13384087
13384090	At1g66810	13384090
13384094	At1g66830	13384094
13384098	At1g66840	13384098
13384103	At1g66852	13384103
13384105	At1g66855	13384105
13384108	At1g66870	13384108
13384112	At1g66910	13384112
13384115	At1g66920	13384115
13384120	At1g66940	13384120
13384128	At1g66960	13384128
13384147	At1g66970	13384147
13384158	At1g66980	13384158
13384169	At1g67000	13384169
13384177	At1g67020	13384177
13384179	At1g67025	13384179
13384186	At1g67040	13384186
13384193	At1g67050	13384193
13384197	At1g67080	13384197
13384205	At1g67090	13384205
13384212	At1g67110	13384212
13384219	At1g67120	13384219
13384293	At1g67130	13384293
13384297	At1g67140	13384297
13384345	At1g67160	13384345
13384349	ath-MIR414	13384349
13384352	At1g67230	13384352
13384363	At1g67238	13384363
13384365	At1g67250	13384365
13384372	At1g67260	13384372
13384377	At1g67265	13384377
13384381	At1g67270	13384381
13384396	At1g67280	13384396
13384409	At1g67290	13384409
13384414	At1g67300	13384414
13384432	At1g67310	13384432
13384446	At1g67320	13384446
13384468	At1g67325	13384468
13384482	At1g67330	13384482
13384484	At1g67360	13384484
13384490	At1g67370	13384490
13384510	At1g67400	13384510
13384518	At1g67410	13384518
13384524	At1g67440	13384524
13384532	At1g67460	13384532
13384540	ath-MIR839	13384540
13384542	At1g67490	13384542
13384565	At1g67500	13384565
13384590	At1g67510	13384590
13384593	At1g67520	13384593
13384600	At1g67540	13384600
13384606	At1g67580	13384606
13384617	At1g67590	13384617
13384624	At1g67600	13384624
13384630	At1g67630	13384630
13384647	At1g67640	13384647
13384654	At1g67650	13384654
13384662	At1g67680	13384662
13384670	At1g67710	13384670
13384678	At1g67740	13384678
13384682	At1g67760	13384682
13384687	At1g67775	13384687
13384690	At1g67785	13384690
13384694	At1g67790	13384694
13384699	At1g67800	13384699
13384715	At1g67830	13384715
13384720	AMBIgUOUS	13384720
13384725	At1g67860	13384725
13384729	At1g67865	13384729
13384732	At1g67870	13384732
13384737	At1g67880	13384737
13384742	At1g67910	13384742
13384748	At1g67930	13384748
13384754	AMBIgUOUS	13384754
13384764	At1g67960	13384764
13384778	At1g67970	13384778
13384783	At1g68030	13384783
13384789	At1g68060	13384789
13384803	At1g68070	13384803
13384811	At1g68090	13384811
13384818	At1g68120	13384818
13384822	At1g68140	13384822
13384829	At1g68160	13384829
13384840	At1g68240	13384840
13384849	At1g68250	13384849
13384854	At1g68260	13384854
13384861	At1g68270	13384861
13384866	At1g68280	13384866
13384872	AMBIgUOUS	13384872
13384879	At1g68340	13384879
13384883	At1g68360	13384883
13384885	At1g68370	13384885
13384899	At1g68380	13384899
13384904	At1g68400	13384904
13384909	At1g68410	13384909
13384924	At1g68430	13384924
13384927	At1g68450	13384927
13384931	At1g68460	13384931
13384935	At1g68470	13384935
13384939	At1g68480	13384939
13384946	At1g68520	13384946
13384951	At1g68526	13384951
13384954	At1g68530	13384954
13384961	AMBIgUOUS	13384961
13384970	At1g68560	13384970
13384976	At1g68570	13384976
13384979	At1g68590	13384979
13384984	AMBIgUOUS	13384984
13384998	At1g68660	13384998
13385006	AMBIgUOUS	13385006
13385020	At1g68730	13385020
13385025	At1g68740	13385025
13385040	At1g68750	13385040
13385061	At1g68765	13385061
13385065	At1g68780	13385065
13385070	At1g68790	13385070
13385081	At1g68795	13385081
13385085	At1g68800	13385085
13385090	At1g68825	13385090
13385096	At1g68830	13385096
13385109	At1g68850	13385109
13385116	At1g68862	13385116
13385123	At1g68872	13385123
13385126	At1g68880	13385126
13385129	At1g68905	13385129
13385132	At1g68907	13385132
13385135	At1g68910	13385135
13385143	AMBIgUOUS	13385143
13385152	At1g21529	13385152
13385154	At1g68990	13385154
13385176	At1g69020	13385176
13385189	At1g69030	13385189
13385197	AMBIgUOUS	13385197
13385212	At1g69080	13385212
13385219	At1g69090	13385219
13385221	At1g69120	13385221
13385232	At1g69150	13385232
13385234	At1g69180	13385234
13385243	At1g69190	13385243
13385247	AMBIgUOUS	13385247
13385254	At1g69220	13385254
13385275	At1g69230	13385275
13385282	At1g69240	13385282
13385289	At1g69270	13385289
13385293	AMBIgUOUS	13385293
13385301	At1g69295	13385301
13385308	At1g69310	13385308
13385317	At1g69330	13385317
13385322	At1g69360	13385322
13385328	AMBIgUOUS	13385328
13385338	At1g69440	13385338
13385343	At1g69450	13385343
13385357	At1g69460	13385357
13385364	At1g69480	13385364
13385378	At1g69485	13385378
13385383	At1g69540	13385383
13385393	At1g69550	13385393
13385400	At1g69570	13385400
13385405	At1g69587	13385405
13385410	At1g69630	13385410
13385414	At1g69640	13385414
13385419	At1g69650	13385419
13385426	At1g69660	13385426
13385431	At1g69670	13385431
13385435	At1g69730	13385435
13385440	At1g69760	13385440
13385444	At1g69770	13385444
13385468	ath-MIR395d	13385468
13385470	ath-MIR395e	13385470
13385472	At1g69800	13385472
13385482	At1g69810	13385482
13385487	At1g69820	13385487
13385494	At1g69830	13385494
13385509	At1g69840	13385509
13385522	At1g69850	13385522
13385529	At1g69890	13385529
13385534	At1g69900	13385534
13385538	At1g69920	13385538
13385542	At1g69930	13385542
13385547	At1g69935	13385547
13385554	At1g69940	13385554
13385560	At1g69960	13385560
13385568	At1g69970	13385568
13385573	At1g69980	13385573
13385579	At1g69990	13385579
13385581	At1g70000	13385581
13385589	At1g70050	13385589
13385591	At1g70070	13385591
13385599	At1g70080	13385599
13385607	At1g70110	13385607
13385610	At1g70130	13385610
13385613	At1g70140	13385613
13385617	At1g70200	13385617
13385624	At1g70209	13385624
13385626	At1g70220	13385626
13385632	At1g70260	13385632
13385642	At1g70280	13385642
13385653	At1g70290	13385653
13385660	At1g70300	13385660
13385669	At1g70310	13385669
13385680	At1g70320	13385680
13385690	AMBIgUOUS	13385690
13385697	At1g70350	13385697
13385701	At1g70370	13385701
13385707	At1g70380	13385707
13385709	At1g70390	13385709
13385712	At1g70400	13385712
13385723	At1g70410	13385723
13385738	At1g70420	13385738
13385742	At1g70440	13385742
13385748	At1g70470	13385748
13385752	At1g70490	13385752
13385760	At1g70500	13385760
13385769	At1g70520	13385769
13385779	At1g70530	13385779
13385788	At1g70600	13385788
13385791	At1g70710	13385791
13385801	At1g70730	13385801
13385818	At1g70740	13385818
13385829	At1g70750	13385829
13385836	At1g70770	13385836
13385850	AMBIgUOUS	13385850
13385857	At1g70830	13385857
13385866	At1g70840	13385866
13385870	At1g70850	13385870
13385877	At1g70860	13385877
13385883	At1g70870	13385883
13385887	At1g70880	13385887
13385892	At1g70890	13385892
13385897	At1g70944	13385897
13385899	At1g70949	13385899
13385901	At1g70985	13385901
13385905	At1g70990	13385905
13385909	At1g71000	13385909
13385914	ath-MIR858a	13385914
13385916	At1g71015	13385916
13385921	At1g71020	13385921
13385930	At1g71030	13385930
13385935	At1g71040	13385935
13385942	At1g71050	13385942
13385947	At1g71060	13385947
13385949	At1g71070	13385949
13385956	At1g71080	13385956
13385963	At1g71120	13385963
13385968	At1g71160	13385968
13385972	AMBIgUOUS	13385972
13385981	At1g71200	13385981
13385985	At1g71210	13385985
13385988	AMBIgUOUS	13385988
13385999	At1g71280	13385999
13386008	At1g71310	13386008
13386019	At1g71330	13386019
13386023	At1g71340	13386023
13386034	At1g71350	13386034
13386043	At1g71360	13386043
13386049	At1g71370	13386049
13386059	At1g71380	13386059
13386067	At1g71410	13386067
13386082	At1g71420	13386082
13386085	At1g71440	13386085
13386102	AMBIgUOUS	13386102
13386105	AMBIgUOUS	13386105
13386109	At1g71530	13386109
13386112	At1g71691	13386112
13386119	At1g71692	13386119
13386129	At1g71710	13386129
13386142	At1g71730	13386142
13386146	At1g71750	13386146
13386151	AMBIgUOUS	13386151
13386161	At1g71780	13386161
13386165	At1g71810	13386165
13386188	At1g71830	13386188
13386191	At1g71850	13386191
13386195	At1g71866	13386195
13386199	At1g71870	13386199
13386202	At1g71950	13386202
13386208	At1g71960	13386208
13386215	At1g72020	13386215
13386220	At1g72040	13386220
13386228	AMBIgUOUS	13386228
13386233	At1g72080	13386233
13386240	At1g72110	13386240
13386253	At1g72141	13386253
13386255	At1g72160	13386255
13386262	AMBIgUOUS	13386262
13386274	At1g72200	13386274
13386278	At1g72220	13386278
13386282	At1g72260	13386282
13386288	At1g72270	13386288
13386305	At1g72280	13386305
13386317	At1g72300	13386317
13386321	At1g72320	13386321
13386336	At1g72350	13386336
13386338	At1g72370	13386338
13386346	AMBIgUOUS	13386346
13386364	At1g72416	13386364
13386376	At1g72420	13386376
13386385	At1g72430	13386385
13386389	At1g72440	13386389
13386407	At1g72450	13386407
13386414	At1g72480	13386414
13386421	At1g72490	13386421
13386428	At1g72500	13386428
13386441	At1g72540	13386441
13386447	At1g72550	13386447
13386469	At1g72560	13386469
13386489	At1g72580	13386489
13386494	AMBIgUOUS	13386494
13386498	At1g72640	13386498
13386511	At1g72670	13386511
13386519	At1g72680	13386519
13386528	At1g72720	13386528
13386532	At1g72730	13386532
13386539	At1g72740	13386539
13386548	At1g72760	13386548
13386559	At1g72810	13386559
13386563	At1g72830	13386563
13386573	At1g72840	13386573
13386584	At1g72850	13386584
13386587	At1g72860	13386587
13386592	At1g72880	13386592
13386607	At1g72980	13386607
13386610	At1g72990	13386610
13386633	At1g73010	13386633
13386640	At1g73020	13386640
13386659	AMBIgUOUS	13386659
13386664	At1g73050	13386664
13386667	At1g73110	13386667
13386681	At1g73120	13386681
13386686	At1g73140	13386686
13386693	At1g73150	13386693
13386700	At1g73165	13386700
13386702	At1g73170	13386702
13386713	At1g73177	13386713
13386720	At1g73200	13386720
13386729	At1g73210	13386729
13386738	At1g73230	13386738
13386746	At1g73240	13386746
13386753	At1g73250	13386753
13386757	At1g73260	13386757
13386761	At1g73270	13386761
13386777	At1g73280	13386777
13386788	At1g73290	13386788
13386799	At1g73300	13386799
13386810	At1g73310	13386810
13386820	At1g73320	13386820
13386828	At1g73325	13386828
13386830	At1g73330	13386830
13386834	At1g73350	13386834
13386845	At1g73360	13386845
13386857	At1g73370	13386857
13386873	At1g73390	13386873
13386888	At1g73490	13386888
13386897	At1g73500	13386897
13386901	At1g73510	13386901
13386905	At1g73530	13386905
13386911	At1g73540	13386911
13386916	At1g73550	13386916
13386922	At1g73560	13386922
13386927	At1g73650	13386927
13386943	At1g73655	13386943
13386949	At1g73660	13386949
13386963	At1g73680	13386963
13386976	ath-MIR159a	13386976
13386978	At1g73700	13386978
13386988	At1g73730	13386988
13386993	At1g73760	13386993
13387000	At1g73805	13387000
13387009	At1g73810	13387009
13387014	At1g73820	13387014
13387020	At1g73840	13387020
13387030	At1g73860	13387030
13387050	At1g73890	13387050
13387054	At1g73930	13387054
13387062	At1g73940	13387062
13387067	At1g73950	13387067
13387083	At1g73960	13387083
13387109	At1g73980	13387109
13387123	At1g74000	13387123
13387128	At1g74010	13387128
13387134	At1g74020	13387134
13387140	At1g74030	13387140
13387149	At1g74050	13387149
13387155	At1g74060	13387155
13387161	At1g74070	13387161
13387167	At1g74100	13387167
13387171	At1g74110	13387171
13387174	At1g74120	13387174
13387177	At1g74170	13387177
13387187	At1g74180	13387187
13387194	At1g74190	13387194
13387200	At1g74200	13387200
13387204	At1g74210	13387204
13387206	At1g74220	13387206
13387209	At1g74260	13387209
13387217	At1g74270	13387217
13387223	AMBIgUOUS	13387223
13387231	At1g74330	13387231
13387242	At1g74340	13387242
13387247	At1g74350	13387247
13387249	At1g74370	13387249
13387254	At1g74390	13387254
13387263	AMBIgUOUS	13387263
13387269	At1g74440	13387269
13387276	At1g74448	13387276
13387278	UNIDENtIFIED	13387278
13387280	UNIDENtIFIED	13387280
13387282	At1g74460	13387282
13387290	At1g74480	13387290
13387295	At1g74490	13387295
13387303	At1g74500	13387303
13387308	At1g74520	13387308
13387316	At1g74530	13387316
13387331	At1g74540	13387331
13387334	AMBIgUOUS	13387334
13387345	UNIDENtIFIED	13387345
13387347	At1g74590	13387347
13387351	At1g74600	13387351
13387353	At1g74660	13387353
13387357	At1g74690	13387357
13387366	At1g74740	13387366
13387376	At1g74770	13387376
13387390	At1g74800	13387390
13387400	At1g74820	13387400
13387402	At1g74830	13387402
13387407	At1g74840	13387407
13387415	At1g74850	13387415
13387421	At1g74875	13387421
13387424	At1g74880	13387424
13387433	At1g74890	13387433
13387439	At1g74910	13387439
13387459	At1g74920	13387459
13387474	At1g74929	13387474
13387476	At1g74950	13387476
13387484	At1g74960	13387484
13387506	At1g74970	13387506
13387511	At1g74990	13387511
13387515	At1g75010	13387515
13387533	At1g75060	13387533
13387542	AMBIgUOUS	13387542
13387549	At1g75100	13387549
13387561	At1g75110	13387561
13387566	At1g75120	13387566
13387571	At1g75130	13387571
13387578	At1g75140	13387578
